targets	chunks	censor	TRs	SD	MLum	SDLum	Acc
1	1	1	1	1	0.85	8	0
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
7	1	1	1	1	0.95	4	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
5	1	1	1	1	0.85	8	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
4	1	1	1	1	0.85	8	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
5	1	1	1	1	0.95	4	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
7	1	1	1	1	0.85	12	0
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
6	1	1	1	1	0.95	4	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
2	1	1	1	1	0.85	8	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
3	1	1	1	1	0.95	4	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
3	1	1	1	1	0.85	8	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
1	1	1	1	1	0.95	4	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
2	1	1	1	1	0.85	12	0
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
6	1	1	1	1	0.85	8	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
8	1	1	1	1	0.95	4	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
2	1	1	1	1	0.95	4	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
7	1	1	1	1	0.85	8	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
4	1	1	1	1	0.85	12	0
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
3	1	1	1	1	0.85	12	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
5	1	1	1	1	0.85	12	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
8	1	1	1	1	0.85	8	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
1	1	1	1	1	0.85	12	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
8	1	1	1	1	0.85	12	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
6	1	1	1	1	0.85	12	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
4	1	1	1	1	0.95	4	1
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
0	1	1	0	0	0.00	0	0
3	2	1	1	1	0.85	4	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
4	2	1	1	1	0.85	4	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
7	2	1	1	1	0.85	4	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
8	2	1	1	1	0.85	4	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
6	2	1	1	1	0.95	12	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
1	2	1	1	1	0.95	12	0
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
1	2	1	1	1	0.85	4	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
5	2	1	1	1	0.85	4	0
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
6	2	1	1	1	0.85	4	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
7	2	1	1	1	0.95	12	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
8	2	1	1	1	0.95	12	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
5	2	1	1	1	0.85	4	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
3	2	1	1	1	0.95	12	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
3	2	1	1	1	0.85	4	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
2	2	1	1	1	0.85	4	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
5	2	1	1	1	0.95	12	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
2	2	1	1	1	0.85	4	0
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
7	2	1	1	1	0.85	4	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
8	2	1	1	1	0.85	4	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
2	2	1	1	1	0.95	12	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
4	2	1	1	1	0.85	4	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
1	2	1	1	1	0.85	4	0
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
6	2	1	1	1	0.85	4	0
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
4	2	1	1	1	0.95	12	1
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
0	2	1	0	0	0.00	0	0
8	3	1	1	1	0.80	4	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
4	3	1	1	1	0.85	8	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
1	3	1	1	1	0.85	8	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
4	3	1	1	1	0.95	12	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
5	3	1	1	1	0.80	4	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
3	3	1	1	1	0.80	4	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
6	3	1	1	1	0.95	12	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
1	3	1	1	1	0.95	12	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
7	3	1	1	1	0.95	12	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
2	3	1	1	1	0.95	12	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
4	3	1	1	1	0.80	4	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
6	3	1	1	1	0.80	4	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
2	3	1	1	1	0.85	8	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
2	3	1	1	1	0.80	4	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
3	3	1	1	1	0.85	8	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
1	3	1	1	1	0.80	4	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
7	3	1	1	1	0.85	8	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
8	3	1	1	1	0.95	12	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
3	3	1	1	1	0.95	12	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
5	3	1	1	1	0.95	12	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
7	3	1	1	1	0.80	4	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
6	3	1	1	1	0.85	8	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
5	3	1	1	1	0.85	8	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
8	3	1	1	1	0.85	8	1
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
0	3	1	0	0	0.00	0	0
1	4	1	1	1	0.90	8	0
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
6	4	1	1	1	0.95	4	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
5	4	1	1	1	0.95	4	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
8	4	1	1	1	0.90	8	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
2	4	1	1	1	0.95	4	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
8	4	1	1	1	0.80	8	0
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
7	4	1	1	1	0.90	8	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
1	4	1	1	1	0.80	8	0
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
4	4	1	1	1	0.90	8	0
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
7	4	1	1	1	0.80	8	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
7	4	1	1	1	0.95	4	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
1	4	1	1	1	0.95	4	0
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
4	4	1	1	1	0.95	4	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
2	4	1	1	1	0.90	8	0
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
2	4	1	1	1	0.80	8	0
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
6	4	1	1	1	0.90	8	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
3	4	1	1	1	0.95	4	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
3	4	1	1	1	0.90	8	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
3	4	1	1	1	0.80	8	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
4	4	1	1	1	0.80	8	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
5	4	1	1	1	0.90	8	1
0	4	1	0	0	0.00	0	0
0	4	1	0	0	0.00	0	0
